S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
354,2020-09-08,277,49349,28420871,582,570,579
355,2020-09-09,350,62944,36211349,582,571,577
356,2020-09-10,258,48020,27784179,586,576,576
357,2020-09-13,354,93975,54454975,587,574,587
358,2020-09-14,356,70052,41300655,595,584,589
359,2020-09-15,260,46177,26935587,590,580,581
360,2020-09-16,220,43649,25294614,582,575,579
361,2020-09-17,456,115847,67976260,593,579,590
362,2020-09-20,351,81497,48543911,604,591,592
363,2020-09-21,343,54931,32330319,610,584,589
364,2020-09-22,374,72466,42030248,590,576,577
365,2020-09-23,205,33384,19300947,581,572,578
366,2020-09-24,240,37060,21411162,606,576,579
367,2020-09-27,245,48614,28176460,607,575,580
368,2020-09-28,193,46486,26926505,584,578,579
369,2020-09-29,310,58385,33567560,579,570,573
370,2020-09-30,300,60813,34712402,601,569,571
371,2020-10-01,338,73645,42485200,582,571,579
372,2020-10-04,308,66773,38908296,588,579,580
373,2020-10-05,262,54309,31460298,589,577,577
374,2020-10-06,230,42913,24711183,580,574,574
375,2020-10-07,304,66003,37901911,577,572,575
376,2020-10-08,270,52226,30106899,589,571,573
377,2020-10-11,314,73636,42495821,582,571,574
378,2020-10-12,383,87414,50811628,587,575,580
379,2020-10-13,229,49233,28571498,591,578,579
380,2020-10-14,175,32158,18576483,587,575,579
381,2020-10-15,219,40608,23500343,607,577,578
382,2020-10-18,182,28061,16125361,585,572,572
383,2020-10-19,116,17751,10218697,579,574,577
384,2020-10-20,159,35260,20398867,582,575,581
385,2020-10-21,2503,399513,242957807,634,602,605
386,2020-10-22,735,162894,98569835,615,600,605
387,2020-10-28,763,139393,85420572,618,605,617
388,2020-10-29,704,190125,118199396,629,617,620
389,2020-11-01,615,173339,107746680,629,613,622
390,2020-11-02,474,109064,67605201,624,617,618
391,2020-11-03,372,134689,83448967,623,615,619
392,2020-11-04,279,61952,38399020,621,615,619
393,2020-11-05,301,86880,53670034,621,616,618
394,2020-11-08,301,78936,48795948,622,617,619
395,2020-11-09,313,66336,41074321,623,617,618
396,2020-11-10,383,95856,59488516,624,617,619
397,2020-11-11,886,246848,156590427,645,620,642
398,2020-11-12,692,212901,137176113,650,635,644
399,2020-11-18,1006,274516,181227572,675,644,670
