S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
142,2020-03-16,310,29042,41739646,1496,1390,1418
143,2020-03-15,427,37442,54957581,1520,1434,1434
144,2020-03-12,476,45675,70706646,1600,1515,1516
145,2020-03-11,523,75630,118641842,1607,1500,1585
146,2020-03-10,241,25007,39022649,1615,1501,1502
147,2020-03-05,416,39721,64480027,1670,1564,1616
148,2020-03-04,568,79695,132205078,1758,1605,1619
149,2020-03-03,668,83945,142643520,1780,1624,1724
150,2020-03-02,302,37578,64973232,1784,1681,1681
151,2020-03-01,595,63816,113624658,1832,1756,1772
152,2020-02-27,626,63082,115879664,1913,1779,1809
153,2020-02-26,744,87081,167134171,1989,1873,1880
154,2020-02-25,667,92255,163351168,1837,1645,1837
155,2020-02-24,439,61801,102204897,1693,1622,1670
156,2020-02-23,493,62997,103406138,1689,1590,1644
157,2020-02-20,676,76559,122267869,1624,1549,1591
158,2020-02-19,617,86866,128955008,1570,1416,1550
159,2020-02-18,566,64032,91493762,1457,1400,1429
160,2020-02-17,554,72592,102934784,1454,1395,1400
161,2020-02-16,1192,128872,180420315,1436,1320,1429
162,2020-02-13,841,90962,120046641,1351,1245,1351
163,2020-02-12,130,11690,14377015,1240,1226,1229
164,2020-02-11,91,11528,14105807,1230,1220,1225
165,2020-02-10,57,4480,5462760,1227,1215,1219
166,2020-02-09,105,8692,10599245,1228,1210,1217
167,2020-02-06,122,12444,15218165,1244,1218,1219
168,2020-02-05,87,8940,10921684,1235,1215,1223
169,2020-02-04,191,20345,24742625,1229,1210,1217
170,2020-02-03,212,28061,34489780,1251,1220,1220
171,2020-02-02,332,49965,61455223,1290,1217,1225
172,2020-01-30,189,14825,18054805,1230,1205,1205
173,2020-01-29,244,22124,26954067,1235,1205,1213
174,2020-01-28,163,20186,24904456,1261,1220,1243
175,2020-01-27,145,11987,14711451,1245,1216,1239
176,2020-01-26,104,8935,11008650,1269,1224,1231
177,2020-01-23,193,17585,21900895,1260,1234,1245
178,2020-01-22,185,19576,24711574,1279,1255,1259
179,2020-01-21,373,82968,105261756,1300,1257,1274
180,2020-01-20,579,163125,209295936,1340,1275,1280
181,2020-01-19,648,93257,121559895,1335,1280,1300
182,2020-01-16,508,115512,144927476,1285,1250,1279
183,2020-01-15,104,9409,11711580,1259,1234,1248
184,2020-01-14,131,20310,24953414,1250,1219,1241
185,2020-01-13,131,17693,21932365,1275,1215,1224
186,2020-01-12,78,6058,7418495,1246,1213,1235
187,2020-01-09,80,7834,9433803,1210,1198,1202
188,2020-01-08,67,3920,4727285,1215,1200,1208
189,2020-01-07,82,5512,6678422,1225,1205,1213
190,2020-01-06,71,5388,6542757,1219,1208,1211
191,2020-01-05,192,20703,25018518,1239,1200,1208
192,2020-01-02,161,15377,18783406,1230,1214,1215
193,2020-01-01,109,13680,16762640,1290,1216,1216
194,2019-12-31,202,20477,25408992,1270,1220,1230
195,2019-12-30,153,19593,24181629,1270,1191,1253
196,2019-12-29,151,10341,12318176,1215,1180,1194
197,2019-12-26,211,17595,21261689,1239,1181,1181
198,2019-12-25,240,20515,25242607,1260,1218,1220
199,2019-12-24,154,20220,25295467,1278,1230,1244
200,2019-12-23,179,19926,24785360,1275,1226,1254
201,2019-12-22,42,5625,6956640,1255,1230,1240
202,2019-12-19,28,3060,3771165,1245,1225,1225
203,2019-12-18,33,5285,6562230,1250,1238,1238
204,2019-12-17,29,2850,3566330,1264,1248,1249
205,2019-12-16,23,1565,1959925,1265,1245,1245
206,2019-12-15,39,5236,6573906,1270,1250,1255
207,2019-12-12,56,4178,5200765,1260,1240,1241
208,2019-12-11,43,2660,3354004,1276,1251,1260
209,2019-12-10,76,5638,7105315,1290,1250,1268
210,2019-12-09,85,9777,12377485,1300,1242,1275
211,2019-12-08,39,4039,5003375,1265,1230,1238
212,2019-12-05,107,9345,11732705,1290,1235,1235
213,2019-12-04,152,13177,16698723,1284,1243,1265
214,2019-12-03,84,5378,6549802,1243,1180,1243
215,2019-12-02,51,2335,2772505,1199,1176,1176
216,2019-12-01,101,6478,7482918.5,1180,1123,1178
217,2019-11-28,226,18987,33575063,1790,1742,1750
